Rank ,Code ,Occupation Title ,AIOE 
1,41-9041 ,Telemarketers ,1.926
2,25-1123 ,"English Language and Literature Teachers, Postsecondary ",1.857
3,25-1124 ,"Foreign Language and Literature Teachers, Postsecondary ",1.814
4,25-1125 ,"History Teachers, Postsecondary ",1.813
5,25-1112 ,"Law Teachers, Postsecondary ",1.802
6,25-1126 ,"Philosophy and Religion Teachers, Postsecondary ",1.8
7,25-1067 ,"Sociology Teachers, Postsecondary ",1.77
8,25-1065 ,"Political Science Teachers, Postsecondary ",1.77
9,25-1111 ,"Criminal Justice and Law Enforcement Teachers, Postsecondary ",1.754
10,19-3041 ,Sociologists ,1.747
11,25-1113 ,"Social Work Teachers, Postsecondary ",1.739
12,25-1066 ,"Psychology Teachers, Postsecondary ",1.716
13,25-1122 ,"Communications Teachers, Postsecondary ",1.702
14,19-3094 ,Political Scientists ,1.687
15,25-1062 ,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary ",1.669
16,23-1022 ,"Arbitrators, Mediators, and Conciliators ",1.647
17,23-1023 ,"Judges, Magistrate Judges, and Magistrates ",1.646
18,25-1064 ,"Geography Teachers, Postsecondary ",1.629
19,25-1082 ,"Library Science Teachers, Postsecondary ",1.626
20,19-3031 ,"Clinical, Counseling, and School Psychologists ",1.626
21,25-1081 ,"Education Teachers, Postsecondary ",1.624
22,25-1011 ,"Business Teachers, Postsecondary ",1.618
23,25-1053 ,"Environmental Science Teachers, Postsecondary ",1.603
24,43-3061 ,Procurement Clerks ,1.59
25,25-1043 ,"Forestry and Conservation Science Teachers, Postsecondary ",1.563
26,13-1071 ,Human Resources Specialists ,1.557
27,13-1111 ,Management Analysts ,1.548
28,23-1021 ,"Administrative Law Judges, Adjudicators, and Hearing Officers ",1.547
29,43-4041 ,"Credit Authorizers, Checkers, and Clerks ",1.546
30,11-9033,"Education Administrators, Postsecondary ",1.545
31,21-1014 ,Mental Health Counselors ,1.537
32,25-1061 ,"Anthropology and Archeology Teachers, Postsecondary ",1.534
33,25-1051 ,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.522
34,27-3031 ,Public Relations Specialists ,1.518
35,23-1012 ,Judicial Law Clerks ,1.513
36,41-9091 ,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.511
37,13-1023 ,"Purchasing Agents, Except Wholesale, Retail, and Farm Products ",1.496
38,25-1042 ,"Biological Science Teachers, Postsecondary ",1.493
39,19-3093 ,Historians ,1.491
40,25-3099 ,"Teachers and Instructors, All Other ",1.486
41,43-4161 ,"Human Resources Assistants, Except Payroll and Timekeeping ",1.481
42,29-9092 ,Genetic Counselors ,1.478
43,13-2072 ,Loan Officers ,1.477
44,21-1013 ,Marriage and Family Therapists ,1.473
45,27-3022 ,Reporters and Correspondents ,1.471
46,21-2011 ,Clergy ,1.47
47,25-1192 ,"Home Economics Teachers, Postsecondary ",1.468
48,11-3111,Compensation and Benefits Managers ,1.467
49,25-1063 ,"Economics Teachers, Postsecondary ",1.462
50,23-1011 ,Lawyers ,1.454
51,25-1052 ,"Chemistry Teachers, Postsecondary ",1.45
52,43-4111 ,"Interviewers, Except Eligibility and Loan ",1.449
53,25-3011 ,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.44
54,43-9081 ,Proofreaders and Copy Markers ,1.436
55,13-1075 ,Labor Relations Specialists ,1.431
56,25-1193 ,"Recreation and Fitness Studies Teachers, Postsecondary ",1.429
57,19-3032 ,Industrial-Organizational Psychologists ,1.427
58,41-3021 ,Insurance Sales Agents ,1.427
59,43-4061 ,"Eligibility Interviewers, Government Programs ",1.417
60,43-2021 ,Telephone Operators ,1.412
61,25-1022 ,"Mathematical Science Teachers, Postsecondary ",1.407
62,13-1131 ,Fundraisers ,1.405
63,13-2052 ,Personal Financial Advisors ,1.396
64,11-3061,Purchasing Managers ,1.393
65,25-1021 ,"Computer Science Teachers, Postsecondary ",1.39
66,23-2093 ,"Title Examiners, Abstractors, and Searchers ",1.384
67,11-2031,Public Relations and Fundraising Managers ,1.383
68,25-1191 ,Graduate Teaching Assistants ,1.376
69,29-1066 ,Psychiatrists ,1.366
70,29-1031 ,Dietitians and Nutritionists ,1.364
71,19-3092 ,Geographers ,1.363
72,13-1141 ,"Compensation, Benefits, and Job Analysis Specialists ",1.362
73,11-3121,Human Resources Managers ,1.359
74,13-2061 ,Financial Examiners ,1.358
75,13-1161 ,Market Research Analysts and Marketing Specialists ,1.356
76,13-2071 ,Credit Counselors ,1.355
77,21-2021 ,"Directors, Religious Activities and Education ",1.355
78,27-3091 ,Interpreters and Translators ,1.352
79,41-9021 ,Real Estate Brokers ,1.348
80,29-1127 ,Speech-Language Pathologists ,1.343
81,25-1032 ,"Engineering Teachers, Postsecondary ",1.337
82,11-3131,Training and Development Managers ,1.337
83,43-4031 ,"Court, Municipal, and License Clerks ",1.336
84,25-2053 ,"Special Education Teachers, Middle School ",1.334
